"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval","notes"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:55 AM","nas","b1","male","ae","pulmonary","verbalfluency","fvch","animals",TRUE,1132,5,NA,30,-19166.692,38393.385,38544.337,38449.048,38395.074373297,"b1_male_ae_pulmonary_verbalfluency_fvch_animals.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",2.869,0.16,0,0.005,0.001,0,12.406,1.164,0,0.022,0.01,0.034,0.45,0.025,0,10.442,0.456,0,NA,NA,NA,NA,NA,NA,0.001,0.002,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.082,0.164,0,-0.08,0.014,0,16.183,0.465,0,-0.115,0.051,0.023,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:22 AM","nas","b1","male","ae","pulmonary","workingmemory","fev1","digitbackwardspan",TRUE,1132,6,NA,30,-18825.801,37711.601,37862.553,37767.265,37713.290373297,"b1_male_ae_pulmonary_workingmemory_fev1_digitbackwardspan.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",28.054,1.406,0,0.035,0.006,0,0.945,0.105,0,0,0.001,0.57,2.28,0.139,0,0.942,0.04,0,NA,NA,NA,NA,NA,NA,0.002,0.001,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.262,0.503,0,-0.265,0.033,0,4.41,0.139,0,-0.018,0.013,0.165,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:22 AM","nas","b1","male","ae","pulmonary","workingmemory","fev1","digitbackwardtotal",TRUE,1132,6,NA,30,-20143.658,40347.316,40498.268,40402.98,40349.005373297,"b1_male_ae_pulmonary_workingmemory_fev1_digitbackwardtotal.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",28.043,1.406,0,0.035,0.006,0,2.922,0.27,0,0.002,0.002,0.363,2.279,0.139,0,2.26,0.098,0,NA,NA,NA,NA,NA,NA,0.001,0.002,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.262,0.503,0,-0.265,0.033,0,3.785,0.221,0,-0.028,0.019,0.143,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:26 AM","nas","b1","male","ae","pulmonary","workingmemory","fev1h","digitbackwardspan",TRUE,1132,6,NA,30,-15231.071,30522.142,30673.094,30577.805,30523.831373297,"b1_male_ae_pulmonary_workingmemory_fev1h_digitbackwardspan.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",2.666,0.144,0,0.003,0.001,0,0.946,0.105,0,0,0.001,0.571,0.245,0.015,0,0.942,0.04,0,NA,NA,NA,NA,NA,NA,0.001,0,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.208,0.156,0,-0.078,0.011,0,4.407,0.139,0,-0.017,0.013,0.182,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:26 AM","nas","b1","male","ae","pulmonary","workingmemory","fev1h","digitbackwardtotal",TRUE,1132,6,NA,30,-16548.293,33156.585,33307.537,33212.249,33158.274373297,"b1_male_ae_pulmonary_workingmemory_fev1h_digitbackwardtotal.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",2.665,0.144,0,0.003,0.001,0,2.924,0.27,0,0.002,0.002,0.365,0.245,0.015,0,2.261,0.098,0,NA,NA,NA,NA,NA,NA,0,0.001,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.208,0.156,0,-0.078,0.011,0,3.782,0.221,0,-0.027,0.019,0.155,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:55 AM","nas","b1","male","ae","pulmonary","workingmemory","fvch","digitbackwardspan",TRUE,1132,6,NA,30,-15807.06,31674.12,31825.072,31729.783,31675.809373297,"b1_male_ae_pulmonary_workingmemory_fvch_digitbackwardspan.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",2.865,0.16,0,0.004,0.001,0,0.94,0.105,0,0,0.001,0.625,0.456,0.028,0,0.943,0.04,0,NA,NA,NA,NA,NA,NA,0,0.001,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.092,0.163,0,-0.081,0.014,0,4.407,0.139,0,-0.018,0.013,0.165,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:55 AM","nas","b1","male","ae","pulmonary","workingmemory","fvch","digitbackwardtotal",TRUE,1132,6,NA,30,-17123.159,34306.319,34457.271,34361.983,34308.008373297,"b1_male_ae_pulmonary_workingmemory_fvch_digitbackwardtotal.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",2.865,0.16,0,0.004,0.001,0,2.918,0.271,0,0.002,0.002,0.376,0.456,0.028,0,2.261,0.099,0,NA,NA,NA,NA,NA,NA,0,0.001,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.092,0.163,0,-0.082,0.014,0,3.783,0.22,0,-0.028,0.019,0.147,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:10 AM","nas","b1","male","aeh","pulmonary","fluidreasoning","fev1","figurecopy",TRUE,1132,6,NA,38,-26733.983,53543.966,53735.172,53614.473,53546.6778023788,"b1_male_aeh_pulmonary_fluidreasoning_fev1_figurecopy.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.658,1.328,0,0.035,0.006,0,13.054,1.437,0,0.011,0.014,0.425,2.273,0.138,0,17.911,0.665,0,NA,NA,NA,NA,NA,NA,0.009,0.006,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.537,4.154,0,0.054,0.263,0.836,8.531,4.843,0.078,-0.045,0.485,0.926,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:11 AM","nas","b1","male","aeh","pulmonary","fluidreasoning","fev1","patterncomparison",TRUE,1132,4,NA,38,-21085.676,42247.351,42438.557,42317.858,42250.0628023788,"b1_male_aeh_pulmonary_fluidreasoning_fev1_patterncomparison.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.807,1.339,0,0.039,0.007,0,0.93,0.18,0,0.003,0.004,0.442,2.131,0.159,0,0.972,0.089,0,NA,NA,NA,NA,NA,NA,-0.003,0.002,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.409,4.174,0,0.055,0.289,0.849,8.506,1.386,0,-0.01,0.211,0.962,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:11 AM","nas","b1","male","aeh","pulmonary","global","fev1","mmse",TRUE,1132,6,NA,38,-23828.061,47732.121,47923.327,47802.628,47734.8328023788,"b1_male_aeh_pulmonary_global_fev1_mmse.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.649,1.327,0,0.035,0.006,0,0.71,0.261,0.007,0.001,0.002,0.634,2.279,0.139,0,2.155,0.143,0,NA,NA,NA,NA,NA,NA,-0.001,0.002,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.504,4.152,0,0.048,0.263,0.857,24.326,1.506,0,-0.017,0.169,0.921,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:12 AM","nas","b1","male","aeh","pulmonary","memory","fev1","delayedrecall",TRUE,1132,6,NA,38,-23360.829,46797.657,46988.863,46868.164,46800.3688023788,"b1_male_aeh_pulmonary_memory_fev1_delayedrecall.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.677,1.327,0,0.035,0.006,0,1.985,0.173,0,0.007,0.002,0,2.279,0.139,0,1.349,0.06,0,NA,NA,NA,NA,NA,NA,0,0.002,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.474,4.157,0,0.054,0.262,0.836,2.55,1.722,0.139,0.064,0.183,0.727,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:12 AM","nas","b1","male","aeh","pulmonary","memory","fev1","immediaterecall",TRUE,1132,6,NA,38,-25351.636,50779.272,50970.478,50849.779,50781.9838023788,"b1_male_aeh_pulmonary_memory_fev1_immediaterecall.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.677,1.327,0,0.035,0.006,0,6.843,0.642,0,0.012,0.007,0.084,2.278,0.139,0,6.187,0.358,0,NA,NA,NA,NA,NA,NA,0.004,0.003,0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.424,4.154,0,0.051,0.262,0.846,11.552,3.333,0.001,0.235,0.326,0.471,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:12 AM","nas","b1","male","aeh","pulmonary","verbalfluency","fev1","animals",TRUE,1132,5,NA,38,-25685.639,51447.278,51638.484,51517.785,51449.9898023788,"b1_male_aeh_pulmonary_verbalfluency_fev1_animals.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.682,1.327,0,0.037,0.006,0,12.328,1.164,0,0.022,0.01,0.034,2.267,0.144,0,10.435,0.456,0,NA,NA,NA,NA,NA,NA,0,0.005,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.378,4.165,0,0.05,0.268,0.853,6.578,4.395,0.134,0.186,0.441,0.673,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:12 AM","nas","b1","male","aeh","pulmonary","workingmemory","fev1","digitbackwardspan",TRUE,1132,6,NA,38,-22385.279,44846.558,45037.765,44917.066,44849.2698023788,"b1_male_aeh_pulmonary_workingmemory_fev1_digitbackwardspan.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.69,1.329,0,0.035,0.006,0,0.938,0.104,0,0,0.001,0.569,2.279,0.139,0,0.942,0.04,0,NA,NA,NA,NA,NA,NA,0.002,0.001,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.581,4.15,0,0.064,0.261,0.807,2.325,1.288,0.071,-0.051,0.115,0.655,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015"," 1:12 AM","nas","b1","male","aeh","pulmonary","workingmemory","fev1","digitbackwardtotal",TRUE,1132,6,NA,38,-23703.274,47482.548,47673.754,47553.055,47485.2598023788,"b1_male_aeh_pulmonary_workingmemory_fev1_digitbackwardtotal.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",24.679,1.328,0,0.035,0.006,0,2.9,0.269,0,0.002,0.002,0.363,2.279,0.139,0,2.26,0.098,0,NA,NA,NA,NA,NA,NA,0.001,0.002,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.567,4.15,0,0.062,0.262,0.813,0.015,2.047,0.994,-0.029,0.176,0.868,"NA_Heterogeneous Res Covs"
"Mplus VERSION 7.31","0.1","06/27/2015","12:06 AM","nas","b1","male","aehplus","pulmonary","fluidreasoning","fev1","figurecopy",TRUE,1131,6,NA,54,-26660.18,53428.36,53700.027,53528.507,53433.8804460967,"b1_male_aehplus_pulmonary_fluidreasoning_fev1_figurecopy.out","C:\Users\Lewina\SkyDrive\IALSA\M+\NAS_wide_20150626.dat",22.856,1.24,0,0.034,0.006,0,12.848,1.421,0,0.011,0.014,0.431,2.27,0.138,0,17.845,0.66,0,NA,NA,NA,NA,NA,NA,0.01,0.006,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.123,4.026,0,0.084,0.261,0.747,8.754,4.868,0.072,-0.05,0.483,0.917,"NA_Heterogeneous Res Covs"
