"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:10 PM","eas","b1","female","ae","muscle","speed","grip","digitsymbol",TRUE,592,8,NA,25,-8130.007,16310.014,16419.602,16340.235,16312.310819788,"b1_female_ae_muscle_speed_grip_digitsymbol.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.61,4.884,0,1.076,0.309,0.001,144.404,11.178,0,1.407,0.325,0,6.988,0.386,0,30.694,1.294,0,6.988,0.386,0,NA,NA,NA,13.164,7.075,0.063,0.701,0.286,0.014,NA,NA,NA,"30.694","1.294",0,-0.38,1.023,0.71,18.471,1.327,0,-0.884,0.328,0.007,32.704,1.644,0,0.988,0.422,0.019
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:33 AM","eas","b1","female","aeh","muscle","fluency","grip","bostonnaming",TRUE,150,8,NA,29,-2505.361,5068.723,5156.031,5064.252,5083.223,"b1_female_aeh_muscle_fluency_grip_bostonnaming.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.739,5.488,0,0.223,0.177,0.208,3.484,0.854,0,0.023,0.027,0.404,5.745,0.417,0,1.787,0.145,0,5.745,0.417,0,NA,NA,NA,3.691,1.533,0.016,0.026,0.062,0.677,NA,NA,NA,"1.787","0.145",0,0.025,0.23,0.914,18.322,1.6,0,-2.172,0.396,0,10.372,0.736,0,-0.012,0.133,0.929
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:22 AM","eas","b1","female","aeh","muscle","fluency","grip","category",TRUE,150,8,NA,29,-3266.486,6590.971,6678.28,6586.5,6605.471,"b1_female_aeh_muscle_fluency_grip_category.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.446,4.895,0,0.195,0.153,0.202,58.863,10.514,0,0.914,0.345,0.008,5.784,0.439,0,17.307,1.299,0,5.784,0.439,0,NA,NA,NA,8.137,5.475,0.137,0.15,0.201,0.455,NA,NA,NA,"17.307","1.299",0,-0.486,0.709,0.493,18.466,1.471,0,-2.232,0.382,0,37.524,2.558,0,-0.7,0.618,0.257
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:17 AM","eas","b1","female","aeh","muscle","fluency","grip","fas",TRUE,150,8,NA,29,-3392.868,6843.736,6931.044,6839.265,6858.236,"b1_female_aeh_muscle_fluency_grip_fas.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.363,4.787,0,0.192,0.171,0.26,114.596,21.086,0,0.178,0.315,0.571,5.763,0.47,0,25.829,1.934,0,5.763,0.47,0,NA,NA,NA,13.16,7.723,0.088,0.042,0.161,0.795,NA,NA,NA,"25.829","1.934",0,0.757,1.002,0.45,18.414,1.484,0,-2.219,0.412,0,29.493,3.492,0,0.554,0.619,0.371
"Mplus VERSION 7.3","0.1","03/19/2015"," 1:57 PM","eas","b1","female","aeh","muscle","fluid","grip","trailsb",TRUE,150,8,NA,29,-4606.424,9270.847,9358.156,9266.376,9285.347,"b1_female_aeh_muscle_fluid_grip_trailsb.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",23.959,4.766,0,0.167,0.143,0.242,2643.777,708.724,0,4.782,16.04,0.766,5.782,0.415,0,1483.513,73.867,0,5.782,0.415,0,NA,NA,NA,-97.378,41.284,0.018,-0.519,1.353,0.701,NA,NA,NA,"1483.513","73.867",0,12.613,7.292,0.084,18.522,1.521,0,-2.371,0.4,0,169.039,17.511,0,4.128,4.628,0.372
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:56 AM","eas","b1","female","aeh","muscle","global","grip","mmse",TRUE,150,8,NA,29,-2111.662,4281.325,4368.633,4276.854,4295.825,"b1_female_aeh_muscle_global_grip_mmse.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.837,4.915,0,0.215,0.181,0.234,1.043,0.249,0,0.009,0.006,0.153,5.775,0.5,0,0.557,0.03,0,5.775,0.5,0,NA,NA,NA,1.749,0.908,0.054,0.015,0.022,0.487,NA,NA,NA,"0.557","0.03",0,-0.058,0.182,0.749,18.381,1.48,0,-2.155,0.433,0,26.032,0.316,0,0.088,0.068,0.2
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:28 AM","eas","b1","female","aeh","muscle","knowledge","grip","information",TRUE,145,7,NA,29,-2313.186,4684.372,4770.697,4678.931,4699.50243478261,"b1_female_aeh_muscle_knowledge_grip_information.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",26.702,5.007,0,0.276,0.173,0.11,12.616,3.697,0.001,0.097,0.279,0.727,5.698,0.429,0,7.416,0.781,0,5.698,0.429,0,NA,NA,NA,0.932,4.121,0.821,-0.107,0.275,0.697,NA,NA,NA,"7.416","0.781",0,0.685,0.583,0.24,18.337,1.468,0,-2.15,0.412,0,12.798,1.621,0,0.102,0.524,0.846
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:45 AM","eas","b1","female","aeh","muscle","knowledge","grip","waisvocab",TRUE,150,8,NA,29,-3402.095,6862.19,6949.498,6857.719,6876.69,"b1_female_aeh_muscle_knowledge_grip_waisvocab.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.943,5.025,0,0.234,0.192,0.222,84.875,15.387,0,0.23,0.36,0.524,5.73,0.431,0,30.044,1.986,0,5.73,0.431,0,NA,NA,NA,9.699,6.158,0.115,0.171,0.194,0.377,NA,NA,NA,"30.044","1.986",0,-1.166,1.132,0.303,18.324,1.509,0,-2.142,0.408,0,34.643,2.723,0,-0.005,0.619,0.994
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:48 PM","eas","b1","female","aeh","muscle","memory","grip","digitspan",TRUE,150,8,NA,29,-2594.197,5246.393,5333.702,5241.922,5260.893,"b1_female_aeh_muscle_memory_grip_digitspan.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.665,4.973,0,0.179,0.148,0.228,6.423,1.338,0,0.05,0.03,0.092,5.816,0.432,0,2.402,0.168,0,5.816,0.432,0,NA,NA,NA,-0.606,1.855,0.744,-0.018,0.059,0.765,NA,NA,NA,"2.402","0.168",0,0.074,0.293,0.8,18.412,1.441,0,-2.196,0.416,0,13.433,0.874,0,0.171,0.172,0.321
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:10 AM","eas","b1","female","aeh","muscle","memory","grip","logicalmemory",TRUE,150,8,NA,29,-3133.26,6324.52,6411.828,6320.049,6339.02,"b1_female_aeh_muscle_memory_grip_logicalmemory.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",26.076,4.895,0,0.222,0.173,0.199,22.807,6.076,0,0.123,0.115,0.284,5.798,0.429,0,14.588,1.218,0,5.798,0.429,0,NA,NA,NA,3.525,4.374,0.42,0.025,0.151,0.87,NA,NA,NA,"14.588","1.218",0,0.565,0.79,0.474,18.406,1.492,0,-2.192,0.364,0,18.033,1.89,0,0.043,0.35,0.902
"Mplus VERSION 7.3","0.1","03/05/2015","10:41 AM","eas","b1","female","aeh","muscle","reasoning","grip","block",TRUE,150,8,NA,29,-3257.54,6573.081,6660.389,6568.61,6587.581,"b1_female_aeh_muscle_reasoning_grip_block.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.495,4.958,0,0.18,0.147,0.221,51.762,9.241,0,0.162,0.201,0.421,5.865,0.428,0,19.798,1.424,0,5.865,0.428,0,NA,NA,NA,8.306,5.148,0.107,0.015,0.106,0.891,NA,NA,NA,"19.798","1.424",0,-0.151,1.078,0.889,18.364,1.564,0,-2.222,0.371,0,18.348,2.408,0,0.777,0.389,0.045
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:08 PM","eas","b1","female","aeh","muscle","speed","grip","digitsymbol",TRUE,150,8,NA,29,-3412.819,6883.638,6970.946,6879.167,6898.138,"b1_female_aeh_muscle_speed_grip_digitsymbol.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.481,4.698,0,0.161,0.146,0.27,127.716,21.209,0,0.158,0.297,0.595,5.791,0.43,0,28.595,1.85,0,5.791,0.43,0,NA,NA,NA,17.733,7.907,0.025,-0.018,0.187,0.922,NA,NA,NA,"28.595","1.85",0,-0.97,1.065,0.362,18.503,1.573,0,-2.319,0.391,0,39.841,3.033,0,0.201,0.498,0.687
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:34 AM","eas","b1","female","aehplus","muscle","fluency","grip","bostonnaming",TRUE,150,8,NA,41,-2489.385,5060.769,5184.205,5054.448,5092.65788888889,"b1_female_aehplus_muscle_fluency_grip_bostonnaming.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.214,5.77,0,0.209,0.196,0.287,2.698,0.762,0,0.031,0.031,0.32,5.774,0.433,0,1.753,0.147,0,5.774,0.433,0,NA,NA,NA,2.631,1.497,0.079,0.03,0.071,0.673,NA,NA,NA,"1.753","0.147",0,0.028,0.234,0.905,18.557,1.828,0,-2.349,0.472,0,10.821,0.699,0,-0.081,0.167,0.626
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:21 AM","eas","b1","female","aehplus","muscle","fluency","grip","category",TRUE,150,8,NA,41,-3256.873,6595.745,6719.181,6589.424,6627.63388888889,"b1_female_aehplus_muscle_fluency_grip_category.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",23.773,5.328,0,0.174,0.156,0.265,54.093,10.486,0,0.907,0.427,0.034,5.814,0.461,0,17.305,1.733,0,5.814,0.461,0,NA,NA,NA,5.533,5.586,0.322,0.164,0.238,0.491,NA,NA,NA,"17.305","1.733",0,-0.496,0.77,0.519,18.675,1.579,0,-2.414,0.475,0,38.492,2.703,0,-0.729,0.667,0.275
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:18 AM","eas","b1","female","aehplus","muscle","fluency","grip","fas",TRUE,150,8,NA,41,-3380.303,6842.606,6966.042,6836.285,6874.49488888889,"b1_female_aehplus_muscle_fluency_grip_fas.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",23.66,4.921,0,0.172,0.178,0.334,97.795,21.311,0,0.161,0.324,0.619,5.786,0.565,0,25.75,2.015,0,5.786,0.565,0,NA,NA,NA,7.891,8.36,0.345,0.033,0.166,0.841,NA,NA,NA,"25.75","2.015",0,0.789,1.047,0.451,18.61,1.666,0,-2.388,0.419,0,30.397,3.808,0,0.464,0.69,0.501
"Mplus VERSION 7.3","0.1","03/19/2015"," 1:59 PM","eas","b1","female","aehplus","muscle","fluid","grip","trailsb",TRUE,150,8,NA,41,-4592.954,9267.909,9391.345,9261.587,9299.79788888889,"b1_female_aehplus_muscle_fluid_grip_trailsb.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",22.327,4.785,0,0.159,0.174,0.36,2306.172,681.653,0.001,3.928,17.42,0.822,5.787,0.437,0,1476.836,76.787,0,5.787,0.437,0,NA,NA,NA,-76.144,39.861,0.056,-0.559,1.719,0.745,NA,NA,NA,"1476.836","76.787",0,12.388,7.829,0.114,18.743,1.674,0,-2.514,0.445,0,161.176,19.41,0,4.405,5.709,0.44
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:57 AM","eas","b1","female","aehplus","muscle","global","grip","mmse",TRUE,150,8,NA,41,-2105.289,4292.578,4416.014,4286.257,4324.46688888889,"b1_female_aehplus_muscle_global_grip_mmse.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.27,5.099,0,0.201,0.186,0.28,1.008,0.255,0,0.008,0.007,0.224,5.788,0.516,0,0.558,0.034,0,5.788,0.516,0,NA,NA,NA,1.477,0.917,0.107,0.016,0.027,0.559,NA,NA,NA,"0.558","0.034",0,-0.059,0.199,0.768,18.548,1.589,0,-2.287,0.505,0,25.989,0.388,0,0.097,0.092,0.292
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:27 AM","eas","b1","female","aehplus","muscle","knowledge","grip","information",TRUE,145,7,NA,41,-2303.278,4688.555,4810.601,4680.863,4721.99189320388,"b1_female_aehplus_muscle_knowledge_grip_information.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",25.166,5.355,0,0.248,0.197,0.209,11.496,3.778,0.002,0.078,0.284,0.783,5.746,0.473,0,7.399,0.814,0,5.746,0.473,0,NA,NA,NA,-0.566,4.148,0.892,-0.075,0.295,0.8,NA,NA,NA,"7.399","0.814",0,0.692,0.608,0.255,18.482,1.647,0,-2.279,0.481,0,13.095,2.004,0,0.303,0.61,0.619
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:44 AM","eas","b1","female","aehplus","muscle","knowledge","grip","waisvocab",TRUE,150,8,NA,41,-3391.692,6865.385,6988.821,6859.064,6897.27388888889,"b1_female_aehplus_muscle_knowledge_grip_waisvocab.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.479,5.417,0,0.221,0.197,0.261,79.89,16.031,0,0.225,0.381,0.554,5.739,0.455,0,29.853,2.076,0,5.739,0.455,0,NA,NA,NA,6.625,6.834,0.332,0.168,0.214,0.431,NA,NA,NA,"29.853","2.076",0,-1.153,1.261,0.36,18.432,1.822,0,-2.237,0.481,0,34.945,3.254,0,0.242,0.748,0.747
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:46 PM","eas","b1","female","aehplus","muscle","memory","grip","digitspan",TRUE,150,8,NA,41,-2582.762,5247.524,5370.96,5241.203,5279.41288888889,"b1_female_aehplus_muscle_memory_grip_digitspan.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",23.996,5.612,0,0.154,0.17,0.364,5.892,1.433,0,0.047,0.034,0.16,5.861,0.463,0,2.401,0.178,0,5.861,0.463,0,NA,NA,NA,-1.494,1.78,0.401,-0.012,0.062,0.842,NA,NA,NA,"2.401","0.178",0,0.06,0.306,0.844,18.605,1.629,0,-2.35,0.479,0,13.686,0.932,0,0.21,0.202,0.299
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:09 AM","eas","b1","female","aehplus","muscle","memory","grip","logicalmemory",TRUE,150,8,NA,41,-3126.496,6334.993,6458.429,6328.671,6366.88188888889,"b1_female_aehplus_muscle_memory_grip_logicalmemory.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",24.611,5.161,0,0.209,0.186,0.261,21.889,6.33,0.001,0.109,0.121,0.367,5.832,0.459,0,14.578,1.288,0,5.832,0.459,0,NA,NA,NA,2.289,4.463,0.608,0.028,0.175,0.873,NA,NA,NA,"14.578","1.288",0,0.513,0.835,0.539,18.599,1.573,0,-2.363,0.47,0,18.17,2.053,0,-0.023,0.443,0.959
"Mplus VERSION 7.3","0.1","03/05/2015","10:35 AM","eas","b1","female","aehplus","muscle","reasoning","grip","block",TRUE,150,8,NA,41,-3248.144,6578.289,6701.725,6571.968,6610.17788888889,"b1_female_aehplus_muscle_reasoning_grip_block.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",23.928,5.153,0,0.164,0.149,0.27,46.563,9.519,0,0.144,0.206,0.484,5.896,0.454,0,19.796,1.464,0,5.896,0.454,0,NA,NA,NA,5.327,5.366,0.321,0.005,0.111,0.965,NA,NA,NA,"19.796","1.464",0,-0.084,1.161,0.942,18.536,1.69,0,-2.347,0.419,0,18.919,2.41,0,0.815,0.441,0.065
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:06 PM","eas","b1","female","aehplus","muscle","speed","grip","digitsymbol",TRUE,150,8,NA,41,-3397.381,6876.762,7000.199,6870.441,6908.65088888889,"b1_female_aehplus_muscle_speed_grip_digitsymbol.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",22.574,4.686,0,0.132,0.139,0.343,112.814,18.891,0,0.149,0.327,0.648,5.854,0.447,0,28.573,1.959,0,5.854,0.447,0,NA,NA,NA,13.769,7.889,0.081,-0.004,0.182,0.984,NA,NA,NA,"28.573","1.959",0,-1.077,1.092,0.324,18.766,1.714,0,-2.51,0.473,0,41.394,3.138,0,0.238,0.575,0.678
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:29 AM","eas","b1","female","age","muscle","fluency","grip","bostonnaming",TRUE,594,8,NA,21,-5550.67,11143.34,11235.465,11168.796,11144.9553846154,"b1_female_age_muscle_fluency_grip_bostonnaming.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.338,5.045,0,0.99,0.299,0.001,5.564,0.508,0,0.008,0.014,0.568,6.943,0.388,0,1.935,0.083,0,6.943,0.388,0,NA,NA,NA,3.066,1.36,0.024,0.008,0.048,0.864,NA,NA,NA,"1.935","0.083",0,0.129,0.217,0.551,18.579,0.945,0,-0.936,0.249,0,11.877,0.254,0,-0.02,0.048,0.673
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:24 AM","eas","b1","female","age","muscle","fluency","grip","category",TRUE,593,8,NA,21,-7625.263,15292.525,15384.614,15317.946,15294.1432136602,"b1_female_age_muscle_fluency_grip_category.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.799,4.878,0,0.951,0.274,0.001,60.365,4.984,0,0.754,0.166,0,6.89,0.391,0,17.949,0.799,0,6.89,0.391,0,NA,NA,NA,5.176,4.768,0.278,0.048,0.217,0.824,NA,NA,NA,"17.949","0.799",0,-0.768,0.683,0.261,18.647,0.961,0,-0.98,0.231,0,40.571,0.753,0,-0.267,0.196,0.172
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:14 AM","eas","b1","female","age","muscle","fluency","grip","fas",TRUE,571,8,NA,21,-7852.753,15747.505,15838.8,15772.135,15749.1880601093,"b1_female_age_muscle_fluency_grip_fas.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",34.127,5.09,0,0.981,0.272,0,142.844,12.095,0,0.296,0.219,0.177,6.915,0.394,0,28.554,1.237,0,6.915,0.394,0,NA,NA,NA,14.664,7.025,0.037,0.33,0.215,0.124,NA,NA,NA,"28.554","1.237",0,0.631,0.832,0.448,18.542,0.973,0,-0.97,0.235,0,34.125,1.084,0,0.577,0.202,0.004
