study name,process,subgroup,model type,n,intercept,slope
eas,block,female,full,150.0,"  0.10(0.11),p=.88"," -0.01(0.02),p=.62"
eas,block,female,full,150.0,"  1.51(1.49),p=.31"," -0.10(0.29),p=.71"
eas,block,female,full,150.0," -0.30(2.73),p=.90"," -0.06(0.82),p=.90"
eas,block,female,full,150.0," -4.30(2.58),p=.10","  0.17(0.45),p=.71"
eas,block,male,a,350.0," -0.26(0.15),p=.50"," -0.07(0.04),p=.06"
eas,block,male,a,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350.0," -0.27(0.15),p=.50"," -0.07(0.04),p=.05"
eas,block,male,ae,350.0,"  0.01(0.17),p=.88"," -0.00(0.06),p=.97"
eas,block,male,ae,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,aeh,72.0," -0.05(0.38),p=.38"," -0.09(0.13),p=.41"
eas,block,male,aeh,72.0,"  0.72(0.47),p=.16"," -0.09(0.12),p=.36"
eas,block,male,aeh,72.0,"  0.03(0.23),p=.92"," -0.03(0.10),p=.72"
eas,block,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,aehplus,72.0," -0.10(0.45),p=.45"," -0.09(0.10),p=.47"
eas,block,male,aehplus,72.0,"  0.58(0.54),p=.38"," -0.08(0.12),p=.45"
eas,block,male,aehplus,72.0,"  0.04(0.22),p=.85"," -0.03(0.05),p=.61"
eas,block,male,aehplus,72.0," -3.92(3.58),p=.47","  0.31(1.06),p=.75"
eas,block,male,aehplus,72.0," -0.09(4.76),p=.92","  0.24(1.64),p=.84"
eas,block,male,aehplus,72.0," -3.82(4.62),p=.50"," -0.42(1.16),p=.72"
eas,block,male,full,72.0," -0.10(0.48),p=.49"," -0.08(0.10),p=.53"
eas,block,male,full,72.0,"  0.56(0.61),p=.44"," -0.07(0.11),p=.49"
eas,block,male,full,72.0,"  0.07(0.24),p=.78"," -0.02(0.07),p=.55"
eas,block,male,full,72.0," -2.29(3.94),p=.61","  0.39(1.02),p=.70"
eas,block,male,full,72.0," -0.35(4.97),p=.94","  0.53(1.49),p=.73"
eas,block,male,full,72.0," -4.24(4.15),p=.43"," -0.59(1.17),p=.61"
eas,bnt,female,a,594.0," -0.06(0.06),p=.01"," -0.03(0.02),p=.14"
eas,bnt,female,a,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,a,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,a,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,a,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,a,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,ae,594.0," -0.06(0.06),p=.01"," -0.03(0.02),p=.12"
eas,bnt,female,ae,594.0,"  0.32(0.08),p=.08","  0.01(0.02),p=.39"
eas,bnt,female,ae,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,ae,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,ae,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,ae,594.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,aeh,150.0," -0.05(0.09),p=.37"," -0.02(0.02),p=.41"
eas,bnt,female,aeh,150.0,"  0.30(0.11),p=.23","  0.04(0.03),p=.59"
eas,bnt,female,aeh,150.0,"  0.01(0.05),p=.78"," -0.00(0.01),p=.79"
eas,bnt,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,female,aehplus,150.0," -0.06(0.09),p=.29"," -0.02(0.02),p=.52"
eas,bnt,female,aehplus,150.0,"  0.27(0.11),p=.17","  0.05(0.03),p=.68"
eas,bnt,female,aehplus,150.0,"  0.01(0.05),p=.88","  0.00(0.01),p=.84"
eas,bnt,female,aehplus,150.0,"  0.69(0.62),p=.21","  0.01(0.20),p=.94"
eas,bnt,female,aehplus,150.0," -0.82(1.58),p=.27","  0.28(0.38),p=.41"
eas,bnt,female,aehplus,150.0," -1.87(1.11),p<.01","  0.06(0.26),p=.79"
eas,bnt,female,full,150.0," -0.06(0.10),p=.31"," -0.03(0.02),p=.51"
eas,bnt,female,full,150.0,"  0.27(0.11),p=.18","  0.05(0.03),p=.69"
eas,bnt,female,full,150.0,"  0.10(0.05),p=.65","  0.00(0.02),p=.90"
eas,bnt,female,full,150.0,"  0.69(0.62),p=.21","  0.01(0.21),p=.94"
eas,bnt,female,full,150.0," -0.81(1.60),p=.37","  0.28(0.37),p=.41"
eas,bnt,female,full,150.0," -1.88(1.14),p<.01","  0.07(0.26),p=.78"
eas,bnt,male,a,376.0," -0.26(0.10),p=.33"," -0.04(0.03),p=.12"
eas,bnt,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,ae,376.0," -0.26(0.10),p=.33"," -0.05(0.03),p=.12"
eas,bnt,male,ae,376.0,"  0.00(0.15),p=.92"," -0.00(0.04),p=.97"
eas,bnt,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,aeh,72.0," -0.20(0.14),p=.57"," -0.04(0.05),p=.35"
eas,bnt,male,aeh,72.0,"  0.07(0.22),p=.43"," -0.00(0.07),p=.88"
eas,bnt,male,aeh,72.0,"  0.07(0.11),p=.77","  0.00(0.04),p=.84"
eas,bnt,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,bnt,male,aehplus,72.0," -0.21(0.18),p=.55"," -0.04(0.06),p=.46"
eas,bnt,male,aehplus,72.0,"  0.10(0.31),p=.56"," -0.00(0.07),p=.79"
eas,bnt,male,aehplus,72.0,"  0.05(0.14),p=.84","  0.00(0.04),p=.91"
eas,bnt,male,aehplus,72.0,"  0.31(2.00),p=.62","  0.12(0.52),p=.51"
eas,bnt,male,aehplus,72.0," -0.34(2.25),p=.83","  0.39(1.01),p=.86"
eas,bnt,male,aehplus,72.0," -0.43(2.20),p=.70","  0.22(0.59),p=.56"
eas,bnt,male,full,72.0," -0.21(0.18),p=.56"," -0.03(0.07),p=.47"
eas,bnt,male,full,72.0,"  0.10(0.36),p=.58"," -0.01(0.10),p=.79"
eas,bnt,male,full,72.0," -0.00(0.14),p=.97","  0.01(0.05),p=.69"
eas,bnt,male,full,72.0,"  0.07(2.11),p=.56","  0.00(0.58),p=.45"
eas,bnt,male,full,72.0," -0.26(2.40),p=.82","  0.37(0.98),p=.82"
eas,bnt,male,full,72.0," -0.54(2.38),p=.63","  0.29(0.75),p=.49"
eas,categories,female,a,593.0," -0.28(0.09),p<.01"," -0.05(0.02),p=.05"
eas,categories,female,a,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,a,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,a,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,a,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,a,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,ae,593.0," -0.26(0.09),p<.01"," -0.05(0.02),p=.06"
eas,categories,female,ae,593.0,"  0.75(0.12),p=.08","  0.04(0.04),p=.16"
eas,categories,female,ae,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,ae,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,ae,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,ae,593.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,aeh,150.0," -0.32(0.19),p=.09"," -0.05(0.04),p=.51"
eas,categories,female,aeh,150.0,"  0.67(0.26),p=.19","  0.08(0.06),p=.24"
eas,categories,female,aeh,150.0," -0.03(0.14),p=.44","  0.00(0.03),p=.79"
eas,categories,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,female,aehplus,150.0," -0.35(0.19),p=.07"," -0.05(0.04),p=.48"
eas,categories,female,aehplus,150.0,"  0.54(0.29),p=.15","  0.09(0.06),p=.27"
eas,categories,female,aehplus,150.0," -0.01(0.14),p=.49","  0.00(0.03),p=.80"
eas,categories,female,aehplus,150.0,"  0.86(1.34),p=.50","  0.04(0.39),p=.87"
eas,categories,female,aehplus,150.0,"  0.67(3.11),p=.73","  0.12(0.76),p=.94"
eas,categories,female,aehplus,150.0," -5.08(2.30),p=.03","  0.17(0.66),p=.79"
eas,categories,female,full,150.0," -0.34(0.20),p=.08"," -0.05(0.05),p=.55"
eas,categories,female,full,150.0,"  0.54(0.29),p=.16","  0.09(0.06),p=.28"
eas,categories,female,full,150.0,"  0.05(0.15),p=.45","  0.01(0.03),p=.80"
eas,categories,female,full,150.0,"  0.86(1.32),p=.55","  0.03(0.38),p=.88"
eas,categories,female,full,150.0,"  0.71(3.10),p=.73","  0.07(0.78),p=.96"
eas,categories,female,full,150.0," -5.07(2.34),p=.03","  0.19(0.68),p=.76"
eas,categories,male,a,376.0," -0.36(0.15),p=.03"," -0.06(0.04),p=.15"
eas,categories,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,a,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,ae,376.0," -0.35(0.15),p=.03"," -0.06(0.04),p=.12"
eas,categories,male,ae,376.0,"  0.02(0.17),p=.59"," -0.02(0.05),p=.71"
eas,categories,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,ae,376.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,aeh,72.0," -0.37(0.39),p=.43"," -0.05(0.08),p=.55"
eas,categories,male,aeh,72.0,"  0.82(0.51),p=.25"," -0.10(0.11),p=.32"
eas,categories,male,aeh,72.0,"  0.04(0.16),p=.59"," -0.02(0.05),p=.82"
eas,categories,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,categories,male,aehplus,72.0," -0.38(0.47),p=.55"," -0.05(0.09),p=.70"
eas,categories,male,aehplus,72.0,"  0.89(0.70),p=.31"," -0.11(0.15),p=.46"
eas,categories,male,aehplus,72.0,"  0.00(0.21),p=.59","  0.00(0.06),p=.86"
eas,categories,male,aehplus,72.0,"  1.74(4.95),p=.65"," -0.01(0.92),p=.61"
eas,categories,male,aehplus,72.0," -0.63(8.06),p=.91","  0.50(1.31),p=.78"
eas,categories,male,aehplus,72.0," -1.02(4.16),p=.80","  0.08(0.89),p=.74"
eas,categories,male,full,72.0," -0.39(0.52),p=.58"," -0.05(0.10),p=.71"
eas,categories,male,full,72.0,"  0.91(0.75),p=.34"," -0.11(0.17),p=.52"
eas,categories,male,full,72.0," -0.03(0.25),p=.69"," -0.01(0.07),p=.79"
eas,categories,male,full,72.0,"  0.96(5.65),p=.73","  0.14(1.06),p=.71"
eas,categories,male,full,72.0," -0.09(8.63),p=.98","  0.47(1.33),p=.79"
eas,categories,male,full,72.0," -0.14(4.67),p=.95","  0.19(0.95),p=.84"
eas,digit_tot,female,a,595.0," -0.04(0.07),p=.20"," -0.03(0.02),p=.29"
eas,digit_tot,female,a,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,a,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,a,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,a,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,a,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,ae,595.0," -0.03(0.07),p=.27"," -0.03(0.02),p=.28"
eas,digit_tot,female,ae,595.0,"  0.37(0.09),p=.06"," -0.01(0.03),p=.28"
eas,digit_tot,female,ae,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,ae,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,ae,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,ae,595.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,aeh,150.0," -0.07(0.09),p=.28"," -0.02(0.02),p=.35"
eas,digit_tot,female,aeh,150.0,"  0.29(0.12),p=.21","  0.03(0.03),p=.41"
eas,digit_tot,female,aeh,150.0,"  0.03(0.06),p=.61"," -0.01(0.01),p=.24"
eas,digit_tot,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,female,aehplus,150.0," -0.07(0.09),p=.28"," -0.02(0.02),p=.37"
eas,digit_tot,female,aehplus,150.0,"  0.28(0.12),p=.20","  0.02(0.03),p=.34"
eas,digit_tot,female,aehplus,150.0,"  0.03(0.07),p=.60"," -0.01(0.01),p=.23"
eas,digit_tot,female,aehplus,150.0,"  0.41(0.74),p=.42"," -0.02(0.20),p=.87"
eas,digit_tot,female,aehplus,150.0," -0.34(1.69),p=.73","  0.01(0.42),p=.72"
eas,digit_tot,female,aehplus,150.0," -1.90(1.25),p=.05","  0.06(0.25),p=.72"
eas,digit_tot,female,full,150.0," -0.07(0.09),p=.28"," -0.03(0.02),p=.31"
eas,digit_tot,female,full,150.0,"  0.29(0.12),p=.20","  0.02(0.03),p=.38"
eas,digit_tot,female,full,150.0,"  0.11(0.07),p=.51"," -0.01(0.01),p=.39"
eas,digit_tot,female,full,150.0,"  0.69(0.75),p=.42"," -0.02(0.20),p=.90"
eas,digit_tot,female,full,150.0," -0.37(1.72),p=.74"," -0.06(0.37),p=.72"
eas,digit_tot,female,full,150.0," -1.94(1.28),p=.04","  0.15(0.26),p=.71"
eas,digit_tot,male,a,379.0," -0.28(0.10),p=.39"," -0.04(0.03),p=.58"
eas,digit_tot,male,a,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,a,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,a,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,a,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,a,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,ae,379.0," -0.28(0.11),p=.38"," -0.04(0.03),p=.60"
eas,digit_tot,male,ae,379.0,"  0.00(0.14),p=.78"," -0.01(0.04),p=.71"
eas,digit_tot,male,ae,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,ae,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,ae,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,ae,379.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,aeh,72.0," -0.25(0.18),p=.58","  0.01(0.06),p=.60"
eas,digit_tot,male,aeh,72.0,"  0.30(0.27),p=.25","  0.00(0.07),p=.88"
eas,digit_tot,male,aeh,72.0," -0.01(0.11),p=.11","  0.01(0.04),p=.71"
eas,digit_tot,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,digit_tot,male,aehplus,72.0," -0.24(0.21),p=.68","  0.01(0.07),p=.77"
eas,digit_tot,male,aehplus,72.0,"  0.34(0.36),p=.34","  0.00(0.08),p=.86"
eas,digit_tot,male,aehplus,72.0," -0.04(0.15),p=.20","  0.01(0.05),p=.78"
eas,digit_tot,male,aehplus,72.0,"  0.53(2.51),p=.54","  0.11(0.65),p=.64"
eas,digit_tot,male,aehplus,72.0," -0.00(3.51),p=.76","  0.45(0.95),p=.81"
eas,digit_tot,male,aehplus,72.0," -1.19(2.47),p=.54"," -0.01(0.67),p=.96"
eas,digit_tot,male,full,72.0," -0.26(0.24),p=.68","  0.01(0.08),p=.73"
eas,digit_tot,male,full,72.0,"  0.33(0.42),p=.40","  0.00(0.10),p=.83"
eas,digit_tot,male,full,72.0," -0.08(0.15),p=.21","  0.00(0.05),p=.91"
eas,digit_tot,male,full,72.0,"  0.05(2.75),p=.67","  0.23(0.69),p=.73"
eas,digit_tot,male,full,72.0,"  0.25(3.71),p=.74","  0.42(0.94),p=.79"
eas,digit_tot,male,full,72.0," -0.89(2.65),p=.64"," -0.09(0.75),p=.86"
eas,fas,female,a,571.5," -0.11(0.12),p=.35"," -0.04(0.02),p=.09"
eas,fas,female,a,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,a,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,a,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,a,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,a,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,ae,571.5," -0.07(0.11),p=.49"," -0.05(0.02),p=.08"
eas,fas,female,ae,571.5,"  1.11(0.15),p=.10","  0.01(0.04),p=.56"
eas,fas,female,ae,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,ae,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,ae,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,ae,571.5,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,aeh,150.0," -0.31(0.26),p=.23"," -0.06(0.04),p=.07"
eas,fas,female,aeh,150.0,"  0.91(0.35),p=.22","  0.05(0.06),p=.72"
eas,fas,female,aeh,150.0," -0.02(0.17),p=.54","  0.00(0.02),p=.83"
eas,fas,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,aeh,150.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,female,aehplus,150.0," -0.34(0.28),p=.21"," -0.06(0.04),p=.09"
eas,fas,female,aehplus,150.0,"  0.81(0.36),p=.18","  0.05(0.07),p=.75"
eas,fas,female,aehplus,150.0," -0.02(0.18),p=.53","  0.00(0.02),p=.87"
eas,fas,female,aehplus,150.0,"  2.92(1.59),p=.20"," -0.08(0.38),p=.84"
eas,fas,female,aehplus,150.0," -2.02(3.62),p=.59","  0.07(0.79),p=.93"
eas,fas,female,aehplus,150.0," -7.09(2.74),p=.01","  0.48(0.54),p=.39"
eas,fas,female,full,150.0," -0.34(0.28),p=.23"," -0.06(0.04),p=.10"
eas,fas,female,full,150.0,"  0.81(0.36),p=.18","  0.04(0.07),p=.77"
eas,fas,female,full,150.0,"  0.05(0.19),p=.46","  0.00(0.02),p=.88"
eas,fas,female,full,150.0,"  2.80(1.57),p=.21"," -0.08(0.41),p=.84"
eas,fas,female,full,150.0," -1.93(3.72),p=.71","  0.07(0.78),p=.92"
eas,fas,female,full,150.0," -7.06(2.87),p=.01","  0.51(0.60),p=.40"
eas,fas,male,a,358.0," -0.17(0.17),p=.17"," -0.05(0.04),p=.50"
eas,fas,male,a,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,a,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,a,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,a,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,a,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,ae,358.0," -0.16(0.17),p=.10"," -0.05(0.04),p=.32"
eas,fas,male,ae,358.0," -0.00(0.17),p=.85"," -0.01(0.06),p=.78"
eas,fas,male,ae,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,ae,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,ae,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,ae,358.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,aeh,72.0," -0.24(0.39),p=.64"," -0.04(0.08),p=.64"
eas,fas,male,aeh,72.0,"  1.08(0.57),p=.21"," -0.14(0.12),p=.25"
eas,fas,male,aeh,72.0," -0.12(0.28),p=.22","  0.00(0.06),p=.96"
eas,fas,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,aeh,72.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,fas,male,aehplus,72.0," -0.25(0.42),p=.71"," -0.03(0.10),p=.77"
eas,fas,male,aehplus,72.0,"  1.12(0.69),p=.28"," -0.14(0.13),p=.33"
eas,fas,male,aehplus,72.0," -0.15(0.38),p=.39","  0.00(0.07),p=.99"
eas,fas,male,aehplus,72.0,"  0.66(4.28),p=.75","  0.31(0.81),p=.70"
eas,fas,male,aehplus,72.0,"  0.26(7.87),p=.90","  0.10(1.84),p=.68"
eas,fas,male,aehplus,72.0," -5.47(5.62),p=.45","  0.00(1.03),p=.95"
eas,fas,male,full,72.0," -0.27(0.42),p=.67"," -0.02(0.10),p=.82"
eas,fas,male,full,72.0,"  1.15(0.73),p=.30"," -0.14(0.13),p=.37"
eas,fas,male,full,72.0," -0.20(0.40),p=.43"," -0.01(0.08),p=.92"
eas,fas,male,full,72.0," -0.07(4.51),p=.88","  0.40(0.88),p=.69"
eas,fas,male,full,72.0,"  0.74(8.27),p=.84","  0.09(1.90),p=.63"
eas,fas,male,full,72.0," -5.30(6.02),p=.48"," -0.03(1.08),p=.90"
eas,gait,female,a,383.0," -0.53(0.19),p=.48"," -0.06(0.04),p=.09"
eas,gait,female,a,383.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,383.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,383.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,383.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,383.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,524.0," -0.74(0.17),p=.23"," -0.03(0.04),p=.48"
eas,gait,female,a,524.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,524.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,gait,female,a,524.0,"    NA(  NA),p= NA","    NA(  NA),p= NA"
